                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.52894,                 0.3555,                0.96624,                0.98403,                0.91989,                0.98229,                 0.6115,                 1.3135,                0.56646,                 1.2098,              0.0011552,              0.0011552,              0.0011552
                    131,                0.54221,                0.36711,                0.97576,                0.98689,                 0.9204,                0.97671,                0.60079,                 1.3731,                0.57364,                 1.2391,              0.0011486,              0.0011486,              0.0011486
                    132,                0.53821,                0.35703,                0.96793,                0.98935,                0.92452,                0.98751,                0.60209,                 1.3628,                0.57852,                  1.208,               0.001142,               0.001142,               0.001142
                    133,                0.55512,                0.37931,                0.98022,                0.97928,                0.97015,                0.99184,                0.63196,                 1.2969,                0.52619,                 1.1763,              0.0011354,              0.0011354,              0.0011354
                    134,                  0.545,                0.36164,                0.97787,                0.96186,                 0.9602,                0.98852,                0.63549,                 1.2774,                0.53266,                 1.2029,              0.0011288,              0.0011288,              0.0011288
                    135,                0.53604,                 0.3584,                0.95751,                0.96441,                0.94371,                0.98251,                0.60251,                 1.3576,                0.58625,                 1.2571,              0.0011222,              0.0011222,              0.0011222
                    136,                0.54319,                0.36719,                0.97295,                0.96361,                0.95522,                0.98576,                0.60957,                 1.3374,                0.55778,                 1.2246,              0.0011156,              0.0011156,              0.0011156
                    137,                0.55046,                0.37237,                0.97465,                 0.9723,                0.97015,                0.99123,                0.62336,                 1.2754,                0.51121,                  1.206,               0.001109,               0.001109,               0.001109
                    138,                0.52854,                0.35979,                 0.9752,                0.98994,                0.97883,                0.99266,                0.62104,                 1.3043,                0.53105,                 1.1808,              0.0011024,              0.0011024,              0.0011024
                    139,                0.50415,                0.35519,                0.96925,                0.97679,                 0.9801,                0.99179,                0.64513,                 1.2244,                0.50561,                 1.1393,              0.0010958,              0.0010958,              0.0010958
                    140,                0.52627,                0.35175,                0.96096,                0.96481,                0.95491,                0.99024,                0.61401,                 1.2993,                0.51204,                 1.1891,              0.0010892,              0.0010892,              0.0010892
                    141,                0.51876,                0.36107,                0.96373,                0.94639,                0.96618,                0.98947,                0.63731,                 1.2341,                0.49748,                 1.1619,              0.0010826,              0.0010826,              0.0010826
                    142,                0.50733,                0.33622,                0.95874,                0.97406,                 0.9341,                0.98527,                0.62208,                 1.3059,                0.52155,                 1.1903,               0.001076,               0.001076,               0.001076
                    143,                0.53557,                0.49423,                0.99049,                0.96759,                0.94527,                0.98622,                0.60612,                 1.3456,                0.55638,                 1.2505,              0.0010694,              0.0010694,              0.0010694
                    144,                0.50418,                0.34818,                0.96048,                0.96174,                0.94527,                0.97803,                0.60129,                 1.3392,                0.56554,                 1.2281,              0.0010628,              0.0010628,              0.0010628
                    145,                0.51099,                 0.3467,                0.96986,                0.96702,                 0.9602,                 0.9881,                0.61685,                 1.3414,                0.53196,                 1.2168,              0.0010562,              0.0010562,              0.0010562
                    146,                0.52567,                0.36056,                0.96963,                0.96289,                 0.9602,                0.98887,                 0.6294,                 1.3199,                0.53414,                 1.2123,              0.0010496,              0.0010496,              0.0010496
                    147,                0.51258,                0.35443,                0.94519,                0.97692,                0.97015,                0.98763,                 0.6198,                 1.2993,                  0.532,                 1.1857,               0.001043,               0.001043,               0.001043
